PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,CabinLetter,relatives
1,3,male,22.0,1,0,7.25,S,Unknown,1
2,1,female,38.0,1,0,71.2833,C,C,1
3,3,female,26.0,0,0,7.925,S,Unknown,0
4,1,female,35.0,1,0,53.1,S,C,1
5,3,male,35.0,0,0,8.05,S,Unknown,0
6,3,male,,0,0,8.4583,Q,Unknown,0
7,1,male,54.0,0,0,51.8625,S,E,0
8,3,male,2.0,3,1,21.075,S,Unknown,4
9,3,female,27.0,0,2,11.1333,S,Unknown,2
10,2,female,14.0,1,0,30.0708,C,Unknown,1
11,3,female,4.0,1,1,16.7,S,G,2
12,1,female,58.0,0,0,26.55,S,C,0
13,3,male,20.0,0,0,8.05,S,Unknown,0
14,3,male,39.0,1,5,31.275,S,Unknown,6
15,3,female,14.0,0,0,7.8542,S,Unknown,0
16,2,female,55.0,0,0,16.0,S,Unknown,0
17,3,male,2.0,4,1,29.125,Q,Unknown,5
18,2,male,,0,0,13.0,S,Unknown,0
19,3,female,31.0,1,0,18.0,S,Unknown,1
20,3,female,,0,0,7.225,C,Unknown,0
21,2,male,35.0,0,0,26.0,S,Unknown,0
22,2,male,34.0,0,0,13.0,S,D,0
23,3,female,15.0,0,0,8.0292,Q,Unknown,0
24,1,male,28.0,0,0,35.5,S,A,0
25,3,female,8.0,3,1,21.075,S,Unknown,4
26,3,female,38.0,1,5,31.3875,S,Unknown,6
27,3,male,,0,0,7.225,C,Unknown,0
28,1,male,19.0,3,2,263.0,S,C,5
29,3,female,,0,0,7.8792,Q,Unknown,0
30,3,male,,0,0,7.8958,S,Unknown,0
31,1,male,40.0,0,0,27.7208,C,Unknown,0
32,1,female,,1,0,146.5208,C,B,1
33,3,female,,0,0,7.75,Q,Unknown,0
34,2,male,66.0,0,0,10.5,S,Unknown,0
35,1,male,28.0,1,0,82.1708,C,Unknown,1
36,1,male,42.0,1,0,52.0,S,Unknown,1
37,3,male,,0,0,7.2292,C,Unknown,0
38,3,male,21.0,0,0,8.05,S,Unknown,0
39,3,female,18.0,2,0,18.0,S,Unknown,2
40,3,female,14.0,1,0,11.2417,C,Unknown,1
41,3,female,40.0,1,0,9.475,S,Unknown,1
42,2,female,27.0,1,0,21.0,S,Unknown,1
43,3,male,,0,0,7.8958,C,Unknown,0
44,2,female,3.0,1,2,41.5792,C,Unknown,3
45,3,female,19.0,0,0,7.8792,Q,Unknown,0
46,3,male,,0,0,8.05,S,Unknown,0
47,3,male,,1,0,15.5,Q,Unknown,1
48,3,female,,0,0,7.75,Q,Unknown,0
49,3,male,,2,0,21.6792,C,Unknown,2
50,3,female,18.0,1,0,17.8,S,Unknown,1
51,3,male,7.0,4,1,39.6875,S,Unknown,5
52,3,male,21.0,0,0,7.8,S,Unknown,0
53,1,female,49.0,1,0,76.7292,C,D,1
54,2,female,29.0,1,0,26.0,S,Unknown,1
55,1,male,65.0,0,1,61.9792,C,B,1
56,1,male,,0,0,35.5,S,C,0
57,2,female,21.0,0,0,10.5,S,Unknown,0
58,3,male,28.5,0,0,7.2292,C,Unknown,0
59,2,female,5.0,1,2,27.75,S,Unknown,3
60,3,male,11.0,5,2,46.9,S,Unknown,7
61,3,male,22.0,0,0,7.2292,C,Unknown,0
63,1,male,45.0,1,0,83.475,S,C,1
64,3,male,4.0,3,2,27.9,S,Unknown,5
65,1,male,,0,0,27.7208,C,Unknown,0
66,3,male,,1,1,15.2458,C,Unknown,2
67,2,female,29.0,0,0,10.5,S,F,0
68,3,male,19.0,0,0,8.1583,S,Unknown,0
69,3,female,17.0,4,2,7.925,S,Unknown,6
70,3,male,26.0,2,0,8.6625,S,Unknown,2
71,2,male,32.0,0,0,10.5,S,Unknown,0
72,3,female,16.0,5,2,46.9,S,Unknown,7
73,2,male,21.0,0,0,73.5,S,Unknown,0
74,3,male,26.0,1,0,14.4542,C,Unknown,1
75,3,male,32.0,0,0,56.4958,S,Unknown,0
76,3,male,25.0,0,0,7.65,S,F,0
77,3,male,,0,0,7.8958,S,Unknown,0
78,3,male,,0,0,8.05,S,Unknown,0
79,2,male,0.83,0,2,29.0,S,Unknown,2
80,3,female,30.0,0,0,12.475,S,Unknown,0
81,3,male,22.0,0,0,9.0,S,Unknown,0
82,3,male,29.0,0,0,9.5,S,Unknown,0
83,3,female,,0,0,7.7875,Q,Unknown,0
84,1,male,28.0,0,0,47.1,S,Unknown,0
85,2,female,17.0,0,0,10.5,S,Unknown,0
86,3,female,33.0,3,0,15.85,S,Unknown,3
87,3,male,16.0,1,3,34.375,S,Unknown,4
88,3,male,,0,0,8.05,S,Unknown,0
89,1,female,23.0,3,2,263.0,S,C,5
90,3,male,24.0,0,0,8.05,S,Unknown,0
91,3,male,29.0,0,0,8.05,S,Unknown,0
92,3,male,20.0,0,0,7.8542,S,Unknown,0
93,1,male,46.0,1,0,61.175,S,E,1
94,3,male,26.0,1,2,20.575,S,Unknown,3
95,3,male,59.0,0,0,7.25,S,Unknown,0
96,3,male,,0,0,8.05,S,Unknown,0
97,1,male,71.0,0,0,34.6542,C,A,0
98,1,male,23.0,0,1,63.3583,C,D,1
99,2,female,34.0,0,1,23.0,S,Unknown,1
100,2,male,34.0,1,0,26.0,S,Unknown,1
101,3,female,28.0,0,0,7.8958,S,Unknown,0
102,3,male,,0,0,7.8958,S,Unknown,0
103,1,male,21.0,0,1,77.2875,S,D,1
104,3,male,33.0,0,0,8.6542,S,Unknown,0
105,3,male,37.0,2,0,7.925,S,Unknown,2
106,3,male,28.0,0,0,7.8958,S,Unknown,0
107,3,female,21.0,0,0,7.65,S,Unknown,0
108,3,male,,0,0,7.775,S,Unknown,0
109,3,male,38.0,0,0,7.8958,S,Unknown,0
110,3,female,,1,0,24.15,Q,Unknown,1
111,1,male,47.0,0,0,52.0,S,C,0
112,3,female,14.5,1,0,14.4542,C,Unknown,1
113,3,male,22.0,0,0,8.05,S,Unknown,0
114,3,female,20.0,1,0,9.825,S,Unknown,1
115,3,female,17.0,0,0,14.4583,C,Unknown,0
116,3,male,21.0,0,0,7.925,S,Unknown,0
117,3,male,70.5,0,0,7.75,Q,Unknown,0
118,2,male,29.0,1,0,21.0,S,Unknown,1
119,1,male,24.0,0,1,247.5208,C,B,1
120,3,female,2.0,4,2,31.275,S,Unknown,6
121,2,male,21.0,2,0,73.5,S,Unknown,2
122,3,male,,0,0,8.05,S,Unknown,0
123,2,male,32.5,1,0,30.0708,C,Unknown,1
124,2,female,32.5,0,0,13.0,S,E,0
125,1,male,54.0,0,1,77.2875,S,D,1
126,3,male,12.0,1,0,11.2417,C,Unknown,1
127,3,male,,0,0,7.75,Q,Unknown,0
128,3,male,24.0,0,0,7.1417,S,Unknown,0
129,3,female,,1,1,22.3583,C,F,2
130,3,male,45.0,0,0,6.975,S,Unknown,0
131,3,male,33.0,0,0,7.8958,C,Unknown,0
132,3,male,20.0,0,0,7.05,S,Unknown,0
133,3,female,47.0,1,0,14.5,S,Unknown,1
134,2,female,29.0,1,0,26.0,S,Unknown,1
135,2,male,25.0,0,0,13.0,S,Unknown,0
136,2,male,23.0,0,0,15.0458,C,Unknown,0
137,1,female,19.0,0,2,26.2833,S,D,2
138,1,male,37.0,1,0,53.1,S,C,1
139,3,male,16.0,0,0,9.2167,S,Unknown,0
140,1,male,24.0,0,0,79.2,C,B,0
141,3,female,,0,2,15.2458,C,Unknown,2
142,3,female,22.0,0,0,7.75,S,Unknown,0
143,3,female,24.0,1,0,15.85,S,Unknown,1
144,3,male,19.0,0,0,6.75,Q,Unknown,0
145,2,male,18.0,0,0,11.5,S,Unknown,0
146,2,male,19.0,1,1,36.75,S,Unknown,2
147,3,male,27.0,0,0,7.7958,S,Unknown,0
148,3,female,9.0,2,2,34.375,S,Unknown,4
149,2,male,36.5,0,2,26.0,S,F,2
150,2,male,42.0,0,0,13.0,S,Unknown,0
151,2,male,51.0,0,0,12.525,S,Unknown,0
152,1,female,22.0,1,0,66.6,S,C,1
153,3,male,55.5,0,0,8.05,S,Unknown,0
154,3,male,40.5,0,2,14.5,S,Unknown,2
155,3,male,,0,0,7.3125,S,Unknown,0
156,1,male,51.0,0,1,61.3792,C,Unknown,1
157,3,female,16.0,0,0,7.7333,Q,Unknown,0
158,3,male,30.0,0,0,8.05,S,Unknown,0
159,3,male,,0,0,8.6625,S,Unknown,0
160,3,male,,8,2,69.55,S,Unknown,10
161,3,male,44.0,0,1,16.1,S,Unknown,1
162,2,female,40.0,0,0,15.75,S,Unknown,0
163,3,male,26.0,0,0,7.775,S,Unknown,0
164,3,male,17.0,0,0,8.6625,S,Unknown,0
165,3,male,1.0,4,1,39.6875,S,Unknown,5
